FP,ExtFP,EStateFP,GraphFP,MACCSFP,PubchemFP,SubFP,SubFPC,KRFP,KRFPC,AD2D,APC2D,Total features,Train Logloss,Validation Logloss,Test Logloss,Train AUC,Validation AUC,Test AUC,Iteration
1024,1024,79,1024,0,0,307,307,4860,4860,780,780,15045,0.345299873157003,0.5534828289857302,0.46716637014822565,0.9762700753851197,0.7733869903681224,0.8988513748694744,0
1024,1024,79,1024,0,0,307,307,4860,4860,0,780,14265,0.3080045540534112,0.5534973596594003,0.45084200002406405,0.9829932808915108,0.7747723974139068,0.9004524886877828,0
1024,1024,79,1024,0,0,307,307,4860,4860,780,0,14265,0.3101607229067252,0.5592024799646161,0.44960656917179453,0.9810799737790888,0.7710120068610634,0.9033762617473026,0
1024,1024,79,1024,0,0,307,307,0,4860,780,780,10185,0.3088030535924405,0.5467053590108013,0.45631965989132817,0.9824524745984924,0.7795223644280248,0.9003132613992343,0
1024,1024,79,1024,0,0,307,307,4860,0,780,780,10185,0.30228551238717183,0.5568798023600274,0.44603311343814217,0.9837594231399541,0.7673835598363901,0.907553080403759,0
1024,1024,79,1024,0,0,0,307,4860,4860,780,780,14738,0.35952508481187323,0.5561181706665228,0.4756636450388361,0.9732915437561456,0.7722654703786779,0.8953706926557605,0
1024,1024,79,1024,0,0,307,0,4860,4860,780,780,14738,0.30448540086590714,0.5494854891033075,0.4459286344653286,0.9838126843657817,0.7789945903153451,0.9029585798816568,0
1024,1024,79,1024,0,881,0,307,4860,4860,780,780,15619,0.3097758056606715,0.55460022114398,0.44972404633138974,0.9834357587676171,0.7741126797730571,0.8987817612252,0
1024,1024,79,1024,0,881,307,0,4860,4860,780,780,15619,0.37258693541657806,0.5529473190262778,0.47233300034290876,0.9706694526384791,0.7791925056075999,0.901983988861817,0
1024,1024,79,1024,0,881,307,0,4860,4860,0,780,14839,0.30437548185981467,0.5614719437942413,0.4420477679399019,0.9829318256309407,0.7658662092624356,0.9026105116602854,0
1024,1024,79,1024,0,881,307,0,4860,4860,780,0,14839,0.30806443297560226,0.5662534391046308,0.45068304375272616,0.9820673549655851,0.760456524607468,0.9014966933518971,0
1024,1024,79,1024,0,881,307,0,0,4860,780,780,10759,0.30340274841457626,0.5468666035701167,0.4597856248424885,0.9827556538839726,0.7819633196991687,0.8886181691611557,0
1024,1024,79,1024,0,881,307,0,4860,0,780,780,10759,0.3570228753936649,0.5549012502125837,0.4728188272935795,0.9739183874139626,0.7729251880195276,0.8982944657152802,0
1024,1024,79,1024,0,881,0,307,4860,4860,0,780,14839,0.36079922247812496,0.54214612961041,0.4656239711097443,0.9747050147492625,0.7916611690196597,0.9030978071702054,0
1024,1024,79,1024,0,881,0,307,4860,4860,780,0,14839,0.36677507835536266,0.5574066998768349,0.4689503919480343,0.9713003933136677,0.7753001715265866,0.9064392620953708,0
1024,1024,79,1024,0,881,0,307,0,4860,780,780,10759,0.30421808529276234,0.5492680372484431,0.44918648270754624,0.9830301540478532,0.7788626467871751,0.895997215454229,0
1024,1024,79,1024,0,881,0,307,4860,0,780,780,10759,0.30752782972691,0.5464972949506073,0.4437476511733556,0.9825221238938054,0.781435545586489,0.9061608075182735,0
1024,1024,79,1024,0,881,0,0,4860,4860,780,780,15312,0.3097758056606715,0.55460022114398,0.44972404633138974,0.9834357587676171,0.7741126797730571,0.8987817612252,0
1024,1024,79,1024,166,0,307,307,4860,4860,780,780,15211,0.31696659449820713,0.548702471159134,0.44603030196453997,0.9806211078334973,0.7822931785195936,0.9046293073442395,0
1024,1024,79,1024,166,0,307,307,4860,4860,0,780,14431,0.3083954882000763,0.5493722934994961,0.444597811935369,0.9815429367420517,0.7803140255970444,0.9055342847198051,0
1024,1024,79,1024,166,0,307,307,4860,4860,0,0,13651,0.30980042302119565,0.5643689132636606,0.44926508614474503,0.981801048836447,0.7613141575405727,0.9001740341106856,0
1024,1024,79,1024,166,0,307,307,4860,4860,780,0,14431,0.3032807396534458,0.55515065742518,0.44865720651857455,0.9829564077351688,0.7768175221005409,0.8988513748694744,0
1024,1024,79,1024,166,0,307,307,0,4860,780,780,10351,0.3114482864838555,0.5620511595560836,0.4479028668657942,0.9811537200917732,0.7679113339490699,0.9001740341106858,0
1024,1024,79,1024,166,0,307,307,4860,0,780,780,10351,0.3140847506508609,0.5528815383693634,0.45145626218734214,0.9817559816453622,0.7769494656287109,0.905534284719805,0
1024,1024,79,1024,166,0,307,307,4860,0,0,780,9571,0.30454780373578266,0.5592693316655291,0.44992740253809915,0.9824196984595215,0.7711439503892334,0.8973894883397145,0
1024,1024,79,1024,166,0,307,307,4860,0,780,0,9571,0.3243674987480792,0.5606587805700456,0.45420423092754486,0.978568502130449,0.7687689668821744,0.9044204664114166,0
